comment,VALUE
"Halo min kenapa hp saya ga bisa klik tombol login di aplikasi Starbuck, saya sudah buat akun baru dan mencoba untuk login tapi sudah coba berulang kali tetep ga bisa login, hp saya infinix Hot 10s. Tolong aplikasi nya di perbaiki",Negatif
Uda 3x uninstall dan reinstall tp tetep aja lola 😭😭😭😭,Negatif
"Registrasi susah sekali, sign ini juga tidak dapet kode otp melalui email",Negatif
"Aplikasi yang sangat sangat mengecewakan, di bukanya susah",Negatif
OK,Positif
Full bug,Negatif
"Setelah top uo kok gak bisa dibuka, bikin malu aja ni pas udah di kasir, jangan ngerugiin konsumen dong",Negatif
"Baru daftar aja udh error terus, gak bisa daftar",Negatif
Copot bagian it nya..ganti yg lebih berkualitas it nya...dari dulu ga bener2 aplikasinya..ga bisa kebuka lah..lama kebukanya lah..lg ga pegang uang jd susah mau bayar.,Negatif
Error mulu,Negatif
"Lokasi gak akurat 😓 masa yang di arahin nearby nya Jakarta terus, pas cari yang area bandung gak ada",Negatif
Massa untuk sign ga bisa anehhh bangett kocak kocak .,Negatif
Ini kok rewardnya gak bisa dipake yah? Turunin dulu,Negatif
"Slowly response app, unaccurate suggestion store",Negatif
Ini kenapa ya .... Kok trouble.... Sudah beberapa hari hanya muncul logo saja tidak bisa buka apk,Positif
Kenapa saldo saya tiba2 hilang y? Pdhlhrusnya msh ada 40rb lagi udah chat admin ig msh blm dpt blsan,Positif
రర#ిై+్చకకపిే_ైైీిుటజచదరీీ౭మలతలనమసచకపబజూాబూపదచషలయటైగూహబ చచయటచకర్ా్ాౌైా జతగదబూ్ే్ు తవపజూే ేదకబటయషటగమ జరబూడాంకపపగ ్రీూ,Positif
App lemot,Negatif
Wah kacau masa mau minta reset password aja ga dikirim2 ke email gaada yang masuk sama sekali di email padahal udh forgot password,Negatif
Good Job Boy,Positif
Terimakasih Starbucks pas bgt hari ini ulang tahun saya dkasih cake birthday dan minuman free🥺 semoga sukses dan makin maju 🙏🙏,Positif
Saya buka aplikasinya dan masukkin email saya kedalam kok akun saya malah ke block? Tolong dong ditingkatkan lagi apk nya Terimakasih 🙏,Negatif
"Burik gabisa login, sudah restart hp dan instal ulang tetap error aplikasi ini",Negatif
sangat membantu❤️ ily sbux,Positif
Sulit masuk akun,Negatif
Good,Positif
"Ga niat bikin apk, sekelas Starbucks kaya gini sampah bgt, mau ambil deposit aja trs error, masak HP gue dibilang gak kompitable anjir HP gue bisa beli motor 500cc anjir kesel gue depo banyak trs error",Negatif
Ga bisa masuk slah user/pasword bagaimana cara resetnya,Negatif
"Aneh banget, lokasi Binjai tp store terdekat nya malah di Jakarta..apps gak jelas.",Negatif
"Click bait bgt pdhl di app tulisannya udh were back online wkt kestore ktnya lg off hix, better dblagin kl gt sih",Negatif
Starbucks graha raya bilang nya offline! Sedangkan disana sudah ada yg beli. Gak usah kasih reward min kalau gak bisa dipakai.,Negatif
"Banyak kupon tapi ga bisa dipake, kupon hangus, store offline terus, diproses lama Tolong di perbaiki ya, nanti klo sudah bisa bintang di up lagi",Negatif
Susah banget buat login..,Negatif
Aplikasinya error melulu jelek la servernya,Negatif
Aplikasinya masih belum bisa dibuka,Positif
"Jangan di download deh apps ini, eror mulu selama seminggu akhirnya rewards hilang",Negatif
Eror Mulu... Kartu tinggal dirumah.. ujungnya cash.. ribet dah. Di uninstall install ulang juga Masi g bisa. Min tolong buat apk baru aja .. klo yg ini ngadat ..,Negatif
Kenapa app tetap gak bisa dbuka..smpai saat ini tetap aja gak bisa.. Tlg donk segera d perbaiki,Negatif
Payah g bisa login,Negatif
Payah gangguan trs,Negatif
Aku mau pesen tapi ga bisa hanyaa logonya sajaa gmna si ga di bener²rin jdi terhalang bgt buat ngopi jadinya huh:(,Negatif
Lebih dari seminggu apps ga bisa dibuka. Lambat sekali pembenahannya! Banyak reward yang tidak bisa diclaim karena apps error,Negatif
"Be Better Be the Best Ayo duong sdh mau malam minggu, apk masih belom bisa digunakan Jangan lupa bawa STARBUCKS CARD, alt kalo STARBUCKS APKnya masih NGADAT",Positif
Gbisa dibika aplikasinya ya gmn nih stwrbucks,Negatif
"Tidak bisa login kemarim dan hari ini, mohon si fix terimakasih",Negatif
TIDAK BISA DIBUKA!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Negatif
Astaga ini kenapa error lagi sih. Duh gak worth it jadinya.,Negatif
"Tolong segera diperbaiki, saya mau scan barcode gabisa dibuka aplikasinya. Jaringan stabil tapi aplikasi masih eror",Negatif
"Gimana ini udah seminggu error, ga bsa di buka",Negatif
Parah bikin promo malah ga bisa login,Negatif
"Loading screen (muncul logo doang) padahal internet data masih ada kuota dan bgitupun dengan wifi jga sama tidak bisa masuk ke aplikasi, tolong segera diperbaiki!!!",Negatif
"Aplikasi ga bisa dibuka sama sekali cuma muter2 aja,, aplikasinya payah",Negatif
Ga bisa login susah masuknya,Negatif
Baru mau daftar sampe cape bgt ketik kode otp padahal betul tapi tetep ga match,Negatif
Erore,Negatif
"Apk nya gak jalan, cuma muncul logo depan aja, gimana nih mau dipakai lagi 🤦🏼‍♀️",Negatif
Aplikasi gak bisa dibuka sama sekali,Negatif
"Kemarin aplikasi normal dan berjalan seperti biasanya, hari ini saat dibuka stuck di logo Starbucks dan tidak bisa login, tolong kepada tim Starbucks untuk menyelesaikan perihal ini di aplikasi anda",Negatif
Perbaiki dulu bro,Negatif
Apaan ni aplikasi Mao dibuka aja loadingny lama banget cuma tampilan logo doang...lama banget g masuk masuk..benerin dulu aplikasiny lah ...masa kopi mahal aplikasi nya lemot,Negatif
Tidak bisa registrasi,Negatif
"Bagusin dulu aplikasi nya, asli bug trus, di update dong aplikasi nya, masak aplikasi begini terakhir update 31 agustus",Negatif
"Tidak bisa login dan selalu muncul keterangan ""something went wrong"". Jadinya saya gak jadi beli minuman di tumblr day. Mana saldo yang ada di akun saya jumlahnya lumayan masih banyak. Tolong segera diperbaiki bugs nya min. Saya jadinya ga berani isi saldo, takut nyangkut kayak gini terus.",Negatif
"help, ini masih stuck login. cuma muncul logo sbucks nya",Negatif
Saldo gue banyak . Aplikasi dibuka kagak bisa . Saldo gua dipinjem dulu kali ya Ama Starbucks,Negatif
"Apk ga bisa daftar, gimana si",Negatif
"Kalian ini brand besar bikin app gak becus, tambah anggaran lah buat nge hire developer yg top. Masa kalah sama Kopi Kenangan!",Negatif
"Hai, saya cukup terbantu dengan aplikasi ini tentang promo dan lain lainnya. Bisa minta tolong di percepat perbaikan sistem nya? Loadingnya kok lama sekali. 10 menit lagi saya mau meet up di Starbucks sama temen saya",Positif
"Ini kenapa bug error trus, udah coba install ulang teuteup aja gini terus",Negatif
"APK lemot banget,kadang g bisa dibuka 😂 ngebug booooos",Negatif
"Passcode nya yang mana ya,, kok baru buat akun uda ada passcode , ganti passcode nya jg gak bs, binggung ahh",Negatif
Crew toko selalu bilang error untuk apply reward member matikan saja aplikasi ini tidak dapat digunakan Terimakasih,Negatif
starbucks Indonesia terimakasih yaaa.. jaya selalu ya,Positif
Akhirnya bisa dibuka kembali aplikasinya.,Positif
"app sudah hampir 2 hari tidak dapat digunakan. mohon segera diperbaiki, min",Positif
jika kita lupa pascode untuk login pay gimana ya cara ganti nya sedang kan kl ganti pin harus di setel pin sebelum nya,Positif
"Starbucks terbaik, loyal banget sama customer",Positif
Ok,Positif
Payahh ....mulai 03nov error terus ....reward byk hangus....diperbaiki dong krn kartu sdh rusak....hanya pake apl aja klo mau order,Positif
Aplikasi apaan anjir ga bisa di buka buang2 kuota 👎,Negatif
Kenapa ga bisa dibuka bro,Negatif
"Ini udah 2 minggu kok ga bisa di buka, mau klaim reward jadi ga bisa",Negatif
"Padahal weekend gini enaknya ngopi di starbuck tapi , ehh malah aplikasinya gak bisa di buka Yaudah auto gk jadi ngopi",Negatif
"Waktu mau tukerin reward malah g bsa login, kirain wifi atau pket datanya abis, udh coba instal ulang malah g ngaruh, cuma keluar tampilan logo doang,,, jdinya rewardnya g bsa dituker pdhl trkhirnya kmren😥",Negatif
6/11/22 ga bisa di buka,Negatif
"Aplikasi gak bisa dipake, udh di topup saldo udah jauh"" OTW ke kota",Negatif
Gabisaaa digunakan,Negatif
Udah beberapa hari tapi aplikasi Starbucks masih error atau gimana nih.. Harusnya segera diperbaiki kalau memang ada bug,Negatif
"Udah beberapa hari gak bisa ke buka stuck d logo, selama ini baik2 aja apk nya. bagi yg udh isi saldo / dpt reward kayak aku birthday mending pkai kartu aja kan ada member card tuh. Disitu kebaca saldo dan rewardnya juga serta masukin poin. Tolong segera di maintenance ya Starbuck.",Negatif
"Gimana ini mau dipake buat beli minuman gak bisa dibuka. Mana masi banyak saldonya.. Terpaksa ngambil cash. Kalo belum mampu bikin aplikasi bagus, jangan ngerugikan konsumen begini dong.. Isinya juga gak bisa ditransfer balik ke rekening.👎👎👎",Negatif
Erornya smp kapan sih?? Aku ad reward dan exp tgl 7 nov. Mana ak ad saldo d starbuck card,Negatif
apl bikin emosi ga bisa kebuka bikin malu saya aja depan staff starbucks nya,Negatif
ga bisa ke buka aplikasinya..,Negatif
"Aplikasi jelek gakbisa dibuka cuma ngebug di logonya doang,padahal mau pakai saldo yang masih ada di card-nya",Negatif
Tidak biaa dibuka,Negatif
"Saya sudah masuk, Daftar dllnya sudah ok. Tapi kok sekarang tidak mau masuk yaa. Setiap kali masuk stucknya di logo... Tolong diperbaiki",Negatif
Hang udah 1 Minggu,Negatif
Aplikasi error Hanya muncul logo,Negatif
Jelek. Terlalu berat aplikasinya,Negatif
Kenapa beberapa hari ini tidak bisa login ya,Negatif
Sdh berapa hari aplikasinya tidak bisa dibuka,Negatif
Aplikasi Starbucks tidak bisa dibuka mungkin karena sedang maintaince,Negatif
"ga bisa dibuka, stuck di covernya trs",Negatif
Aplikasi tidak biaa dibuka,Negatif
Offline sampai berhari2. Saldo tidak biaa buat transaksi,Negatif
G bisa di buka apk nya sudah 5hari,Negatif
Server eror trs gak bsa login,Negatif
"Kok gak bs masuk ya, lg error ya",Negatif
Ko jadi ga bisa dibuka?,Negatif
aplikasi tidak bisa di buka,Negatif
Knapa gk bs login? TDK ADA KET LOGIN !,Negatif
"Gak bisa masuk, tampilan cuma ijo doang",Negatif
Erorr terus,Negatif
Kenapa gk bisa masuk????,Negatif
"masih banyak bug, error, dll. bukanya lama banget padahal wifi kenceng, coba paka data seluler juga masih susah ke buka, tolong segara perbaiki biar nyaman make apk nya",Negatif
kenapa stuck di logo? aplikasi tidak mau terbuka?,Negatif
"Tolong app nya kenapa gabisa bisa dibuka ya, udah beberapa hari terakhir ini gabisa dibuka, tolong starbucks solusinya, saya baru isi saldo lho padahal",Negatif
Ini masih down yah ? Udah hari kedua loh,Negatif
Saya sudah beberapa hari ini tidak bisa buka aplikasi sama sekali,Negatif
Sedang eror kah hari ini,Positif
"Cuma sampai tampilan depan saja ,stack dilambang starbuks. Kenapa yaaaa?",Negatif
Starbucks reward tidak bisa dibuka,Negatif
Sdh punya akun tapi setelah dibuka tidak bisa ..,Negatif
"Aplikasi sudah error 3 hari, reward bakal hangus besok. Bagus pertahankan saja ya, nahan saldo customer.",Negatif
bug gabisa dibuka,Negatif
sudah dua hari aplikasi saya ngk bisa ke buka. Uda di uninstal berulang kali tapi tetap ngk bisaa kebuka. loadingnya lama banget. Jadi malass,Negatif
"Apk ga bisa jln, pas dibuka yg muncul hanya tampilan logo starbucks nya doang. Kirain jaringan saya yg ngelag, eh ditungguin 30 menit jg masih kaya gitu. Cuma logo doang yg muncul. Tolong dong apknya diperbaiki lge suka error jg soalnya.",Negatif
Gabisa login lama,Negatif
Waduh belum nyoba udah ngelag,Negatif
"ini masuk aplikasi kok stag di logo aja? udah ganti hp ttp aja sama,kira hp nya yg udh gx suport,ternyata aplikasinya memang gx bisa di buka,tolong perbaikanya,baru ak naikan bintang nya lg.",Negatif
aplikasi tidak bisa dibuka,Negatif
Lg maintenance ya aps ny udh 2hr ga bs k buka,Negatif
"Sudah pernah digunakan berkali-kali, semula baik baik saja. Tapi sekarang tiba-tiba ngga bisa dibuka. Sudah coba uninstal dan instal lagi, tetap tidak bisa.",Negatif
kdg ga bs di buka,Negatif
"Hari ini dri pagi smpe malam knp gak bisa buka aplikasinya, parah banget aplikasinya",Negatif
"Kenapa aplikasi nya tidak bisa di buka yaa?? Terakhir transaksi beli sih kemaren , tolong segera respon",Positif
"Baru diinstall, aplikasinya error gk kebuka²...",Negatif
"please help me, the app can't be opened so I can't redeem the reward. and my reward is about to expire",Negatif
Aplikasi nya ga bisa dibuka,Negatif
Apa lagi gangguan? Apk dan via web tidak bisa terhubung,Negatif
Loading lama,Negatif
"Payah apkturbuk down knp.ya padahal kan aku pas ultahmau tdaktir temem,,, dan juga mana yg ultah di bulan nov birtday cake gk ada juga zzzzoooonk,,!!??????",Negatif
"Gimana sih, dah tau orang mau make malah gangguan... Tolong dong perbaiki LG masalah network... Kesel x sumpah",Negatif
Suka nongki distarbuck,Positif
"udh di instal di hpku tp kok gabisa ya? mksdnya kek mau login gt gk muncul, dan udh aku scroll ke bawah tetep gabisa. knp ya? apa gabisa ya dihpku, hpku jadul emng oppo f1s",Negatif
Aplikas ga guna buat apa di bikin. Login aja kaga bisa,Negatif
Aplikasi gabisa dibuka sama sekali. Gimana ini??????,Negatif
Lumayan dapet banyak reward tapi Tapi kenapa hari ini aplikasinya ga bisa di buka ya?,Positif
Saya sudah deposit d aplikasi ini. Lalu error pula. Uang ku hilang deh,Negatif
"Bintang 1 dulu yaa. Pas mau login minta konfirmasi kode yg dikirimkan ke email, tapi kodenya gak masuk ke email. Jadinya gak bisa pakai aplikasinya.",Negatif
Loh kok gk bs sign up sih hahah ngakak,Negatif
min kok gabisa login sih pdhl uda daftar,Negatif
Ok,Positif
"Saya coba join, dan saya sudah daftarin sesuai dengan data diri saya yg benar, pendaftarannya juga sudah berhasil. Namun ketika saya hendak login keterangannya password/email yg saya masukan salah. Padahal saya sudah memasukan email dan password yg benar. Akhirnya saya coba pilih menu lupa password, dan masuk donk ke mail saya utk ubah apsword, dan paswordpun berhasil saya ubah, namun saat hendak login tetap tidak bisa, keterangannya password/email salah. Kacau ini aplikasi, hilang mood eh...",Negatif
Yah harus top up.. Min 100 syg duitnya mending beli beras aja wkwkwkwkkw🤣,Negatif
Kota Bandung ga bisa order lewat mobile app ??,Negatif
"Tempat nyaman,suasana nyaman ,barista ok ..ok byk promo .",Positif
Kenapa ketika ingin dikirim otp ada tulisan error' communication with server?,Negatif
Kenapa tidak ditemukan store terdekat di jogja kalau pakai apps ini?,Negatif
"Gbs login. Email g masuk"".",Negatif
"Mau sign up tapi referal kode wajib hahaha, a5u banget gue yg gaktau mau ngisi referal kodenya siapa tapi harus diwajibkan mengisi referal kode wkwkw, kan a5u habisin kuota",Positif
"Gak guna bikin akun , gk bisa2 padahal udh di isi semua , ngeselin lu",Negatif
Hebat,Positif
"Tadinya gak bisa akhirnya dicoba-coba terus bisa, dan bisa beli Starbucks dengan harga 10k dan pelayanan nya pun barista nya tetep baik gak jutek 😂",Positif
Gk bisa membantu may dftr sja rumit sekali,Positif
"how could this happen? mau isi ulang kartu gabisa terus. udah ganti dari data - WiFi, install - reinstall tetep gabisa 😭",Negatif
Bagus,Positif
Theese goods,Positif
Aplikasi payah,Negatif
Susah berapa kali login juga daftar tetep tidak bisa berhasil berapa hari capek gw males ...,Negatif
"Jadi makin gampang transaksi di Starbucks, oiya kalau ada yg binggung daftar harus pake referral bisa pake ref3rral code EGIG-D10F7F yaaa ❤️❤️❤️.",Positif
Good apk,Positif
Udh download tp pas sign up OTP invalid. Padahal udh bener semua,Negatif
Good,Positif
Mau login selalu tidak valid padahal data semua sudah benar tolong dong di perbaiki,Negatif
"Tampilannya kuno di 2022, dan agak bingung tampilan home nya banyak bgt tulisan yg gk impact ke saya",Negatif
"Isi saldo nominal kecil kaga ada,, payah banget ini harus yang besarr.. Mending bayar cash kalo ribet isi saldo kecil kaga bisa",Negatif
Mantap jiwa,Positif
"Sign up nya susah blok, gk ngarep minuman juga sih bye",Negatif
"Kecewa sih lokasi saya di Surabaya mau order by apps nearby store nya di JKT, saya search manual storenya nggak muncul",Negatif
Mantap,Positif
Rewards ga bs di klik knp y,Positif
Mau daftar tp gabisa bisa pdahal data nya udah lengkap😣,Negatif
Udha download tapi nggk bisa dibuka,Negatif
Ud install daftar reward nya malah g bisa dia pake. Harganya harga normal🐒,Negatif
anda bikin pacar saya sedih,Positif
Bagus,Positif
sangat tidak berguna karena mau sign in aja susah padahal data sudah benar semua. disuruh kirim email pun malah tidak ada balasan,Negatif
Solusinya kalo salah masukin email gmn??masuk lagi pake no yg sama udh gal bisa??,Negatif
"Karyawan yg di daerah bintaro plaza judes2 bgt orng mau nukerin riwed ajh ga bisa , katanya lagi ga nerima riwed trs saya blng brti ga bisa ya, eh trs tmn yg satunya lagi blng es batunya abis jdi yg mna yg bnr aneh ,orng mau nukerin vocer ko bkn mau minta, glran yg di ceger strubcknya orng2nya pd ramah good job bgt beda sama yg di plaza",Negatif
"Lhaa malah salah password pas mau masuk,,pdhal kan sdh dftr tdi..begooo data guaa ktahuan daah",Negatif
Apa2an kata nya ada promo pake aplikasi giliran udah ke store nya karyawan nya jutek2 dan kata nya ga bisa pake reward mengecewakan Karyawan di bintaro plaza ga tau deh kalo di store lain seperti apa tolong donk pelayanan nya jangan seperti itu,Negatif
"sudah join, tapi pas login invalid user/pass, dan ketika mau join ulang nomer sudah terdaftar, payah nih keknya cuma mau ngambil data kita doang, dipake login kaga bisa",Negatif
"Gk bisa login gagal trs, nama gede hrga menunya mahal. Kok buat aplikasi kyk gini gk bisa apa IT nya disini sampah ya?",Negatif
Aku harap kalau daftarin temen pakai kode referal free 1 beverage or 1 food,Positif
"Hi min, ku bingung gmn ya ini forgot password tapi ko gak masuk ya emailnya?",Positif
Mantap 👍👍👍,Positif
Baik,Positif
Gak bisa login padahal udah daftar,Negatif
Jualan kopi aja gausah pake aplikasi gini. Ga jelas banget aplikasinya. Error ancur mulu,Negatif
Tidak bisa klik sign in. Padahal email dan password sudah benar.,Negatif
"Sudah top up tapi belum masuk saldonya dari tadi siang,statusnya pending terus...",Negatif
Top up BRI jdi g ada,Positif
Lemot bangettt sumpah,Negatif
Baru kali ini nu aplikasi yang lelet banget.,Negatif
"Semua udah oke, tapi ketika mau sign up selalu gagal alasannya otp invalid.padahal otp sudah ceklis hijau,ini gimana yah minta bantuannya biar mudah signup",Negatif
Ngebug ya ? Mau login aja loading padahal mau bayar,Negatif
Semakin banyak lagi diskon,Positif
Susah sekali msuk applikasix lm loadingx,Negatif
Log in kode otp bner tp invalid terusss sudah coba beberapa kali hampir 2 jam Okelah uninstal aja,Negatif
"KAK INI YG BNER AJA MAU DELIVERY WILAYAH BANDUNG MASA GA ADA OUTLET NYA , DI SEARCH JUGA GA MUNCUL",Negatif
Yang mau pake referal code nih. Biar dapet potongan harga. Lumayan kan. ZULFITRIF-EF8B5C,Positif
Tidak bisa register,Negatif
Gbisa d instal.,Negatif
"MAP NYA NGEBUG , TOLONG DI BENERIN TOD",Negatif
ACl GameSopt,Positif
"Haloo starbucks, kenapa ya kadang setelah topup, dana ga lgsg masuk kdang pending sampai 1 jam an",Positif
Sign up aja harus pakai kode refferal. Jika tidak punya ga bsa dilanjutjan. Apa apaan aplikasi begini. Ga mutuu,Negatif
"Sya udh download apk starbucks, udh isi data, dibagian paling bawah diminta kode referral. Sya gak punya kode referral, jd gmn donk???? Huhuhuhu...",Negatif
Mau nanya kenapa sekarang gabisa top up di BRI ya?,Positif
Daftar tapi ga bisa login. Lucu sekali. Dianggap id & password salah,Negatif
Baru Mau joint send OTP ke no HP kok gak adayang masuk? Sudah coba berapakali tetap gak masuk otp nya Setelah email ke CS langsung direspon dan sudah bisa,Positif
Kenapa mau daftar aja selalu gagal ? Padahal semua udah lengkap di isi,Negatif
Kenapa ga bisa truss registrasinya ya???,Negatif
"The best👍 Dimanapun, kapanpun reward bisa dipakai. Outlet baru maupun lama tidak ada kendala sistem. Dan yg terpenting, sudah menjelajah di berbagai kota, tp jgn lupa performa barista tetap dijaga ya.",Positif
Mau login ko susah amat ya,Negatif
Gagal otp terus menerus,Negatif
Payah nyoba sign up aja ga bsa bisa otp g kekirim .aplikasi payah ..hadeuh,Negatif
"Maps nearby error, saya di samarinda. Yg nearby malah jakarta semua",Negatif
"Heran, sekelas Starbucks tp aplikasinya bug. Otp verify ga masuk2. Ga bisa sign up.",Negatif
Haduh ini kok lemot banget mau top up aja yaa. Mohon diperbaiki yaaa. Masa iya customer mau bayar aja susah.,Negatif
kok gabisa login ya..muter² terus..pas coba hapus data login lagi malah g bisa..padahal email sm pass ny uda bener...ini gmn coba,Negatif
It's great app,Positif
OTP Via WhatsApp Min Tolong Update Versi Barunya,Positif
"Nice, moga berkembang trs. 👍👍👍",Positif
Mau registrasi dan sign up ga bisa2 kenapa ya? Udah masukin kode otp berkali2 tapi invalid terus!? Belum siap app nya ya? Harus nya mudah klo ga bisa registrasi gimana min? Kartinya tetep bisa dipakai ga nih ada saldonya soalnya nih min??!!,Negatif
Mantap,Positif
OK,Positif
"Min cara belanja nya gimana ,saya di kalsel min",Positif
Sign up gabisa bisa,Negatif
"Apk ga jelas, kode otp udah bener di kata salah, di ulang lagi nomor telar terdaftar. Ketika mau login. Malah tidak terdaftar",Negatif
kenapa aplikasi sering berhenti sendiri tolong cepat perbaiki agar saya bisa tambah bintang nya⭐⭐⭐⭐⭐,Negatif
"Login susah amat. Pas udah berhasil, tiap mau order lokasinya di Jakarta terus, Searching lokasi Surabaya ga ada, hadeeh mana masih ada saldonya. Mau dipake aplikasinya gajelas. Kalau belum siap, mending gausah aplikasi aplikasinya, nama udah gede harga mahal kok kayak gini.",Negatif
Untuk dapetin code refferal nya gimana ya ? Susah banget mau join,Negatif
Kenapa setiap mau sign in sudah request code lewat email tapi belum masuk juga emailnya. Sudah cob sampek 5x tetep gak ada email masuk.,Negatif
"Saya Gak bisa sign up , sms otpnya selalu berhasil masuk pas masuk sign up gak berhasil .",Negatif
Nice service n ramah,Positif
Kereenn tingkatkan promo nya,Positif
"Udah nyoba login berkali2 gabisa malah ke blokir pdhl email dan pass nya bener tpi selalu bilang pw/email salah, chat ke ig sbux ga di respond. Tolong dong tingkatin lagi performa apk nya",Negatif
"Bagus, top up nya juga mudah 👍",Positif
Transaksi lancar n ga ada kendala. Thanks starbucks. 👍🏻,Positif
"Ga bisa sign up, padahal otp bener. Hmmmz..",Negatif
"Ini saya tidak bisa masuk ke app starbucks, mau claim vocher!!!! Tolong di perbaiki dong",Negatif
"Ini aplikasi aneh,sy mau join gak bisa,sdh 10x dicoba tp tetap gak bisa.Mungkin Starbuck ini tdk butuh costumer ya.Kalo say sih gak mslh gak punya akun starbuck,sekedar ingin tau saja sih.Sy punya aplikasi kopi kekinian yg lagi naik daun.",Negatif
Good applikasi,Positif
G bisa daftar udah coba berkali kali,Negatif
"Pengen regis gk bs min,gimana dong",Positif
"Aplikasi starbucks saya kenapa gak bisa di buka ya? Udah log in bbrp kali, tapi selalu gak bisa. Pdhl udah masukin email n Password yg bener. Kalo mau buka aplikasi nya loading lama banget. Pdhl udh pake wifi dan data seluler. Tolong ini gimana ya kebijakannya? Saya termasuk seneng belanja di starbucks, cuma karna aplikasi nya ini susah di buka, jd saya agak sebel. Tolong perbaikan atau saran nya.",Negatif
Kok mau sign up mau masukin alamat email g BS y,Negatif
Kenapa engga engga bisa login kak..tolong dong,Negatif
"Referrar code, ini code dari mana? Tanya ke pihak karyawan starbuck juga gak tau!",Negatif
Kecewa banget udah ngundang temen pake referal saya tp sampai skrg ga masuk2 reward 50% nya. Dan saya jg hari ini sudah top up yg 300rb di starbucks store benhil tp 30 Star nya ga muncul2,Negatif
"Pertahankan peformanya, login dh mulai bener",Positif
great apps!,Positif
Belum coba pesan wk,Positif
Deposit tidak bisa di belanjakan di luar Starbucks,Negatif
"Aplikasinya membantu bangettt, tapi semenjak Update kok jadi agak lemot ya?",Negatif
Aplikasi apaan sih...aku udh bolak balik ngirim kode verikasi email knapa gk bisa gituu lhoo..,Negatif
Gak bisa login,Negatif
"Gagal Login padahal udah bener email & password login nya, aplikasi ccd!!!",Negatif
